# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "1" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "unzipped.gtf" "-o" "SRR453566_featurecounts.txt" "SRR453566_final_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_final_sorted.bam
YKR076W	XI	582283	583395	+	1113	184
YKR106W	XI	661442	663289	+	1848	157
YKL197C	XI	70734	73865	-	3132	420
YKL152C	XI	163642	164385	-	744	21700
YKL093W	XI	264789	265808	+	1020	174
YKL080W	XI	285030	286208	+	1179	3209
YKL185W	XI	94499	96265	+	1767	980
YKR081C	XI	591506	592540	-	1035	1220
YKR035C	XI	507920	508561	-	642	0
YKL101W	XI	248920	253476	+	4557	3121
YKR008W	XI	452201	454078	+	1878	883
tW(CCA)K	XI;XI	302918;302988	302953;303023	+;+	72	0
YKL056C	XI	334412	334915	-	504	21074
YKL156W	XI;XI	158613;158967	158615;159212	+;+	249	1092
YKL162C	XI	147630	148838	-	1209	84
YKL192C	XI	80160	80537	-	378	1393
YKR064W	XI	562547	565138	+	2592	598
YKL017C	XI	405190	407241	-	2052	300
YKL204W	XI	53704	55602	+	1899	768
YKL190W	XI;XI	82947;83075	82998;83550	+;+	528	806
YKL211C	XI	36699	38153	-	1455	2046
YKL115C	XI	222893	223285	-	393	40
YKL107W	XI	236141	237070	+	930	25
YKL127W	XI	203541	205253	+	1713	1162
YKL165C-A	XI	135790	136023	-	234	70
YKR049C	XI	526830	527231	-	402	165
YKL052C	XI	339668	340546	-	879	286
YKL053C-A	XI	339182	339442	-	261	691
YKL121W	XI	214142	216700	+	2559	344
tN(GUU)K	XI	74624	74697	+	74	12
YKL050C	XI	342852	345620	-	2769	187
YKL194C	XI	77258	78646	-	1389	485
YKR037C	XI	510910	511797	-	888	296
YKL059C	XI	328118	329443	-	1326	471
YKL205W	XI	50051	53353	+	3303	1200
YKL137W	XI	185957	186292	+	336	814
YKR015C	XI	466961	468667	-	1707	150
YKL146W	XI	171783	173861	+	2079	668
YKR003W	XI	445381	446727	+	1347	615
YKL028W	XI	385758	387206	+	1449	1030
YKR010C	XI	458924	461239	-	2316	500
YKL193C	XI	78866	79882	-	1017	359
tK(CUU)K	XI	202999	203071	+	73	3
YKL212W	XI	34543	36414	+	1872	2316
YKL147C	XI	171551	172168	-	618	2
YKL054C	XI	336537	338753	-	2217	2931
snR38	XI	283185	283279	+	95	24
YKR096W	XI	626793	630380	+	3588	743
YKL006C-A	XI;XI	430198;430597	430455;430632	-;-	294	350
YKL164C	XI	141794	142819	-	1026	3098
YKL145W-A	XI	174958	175050	+	93	0
YKL026C	XI	389380	389883	-	504	72
YKL044W	XI	356322	356642	+	321	511
YKL089W	XI	273394	275043	+	1650	366
YKR077W	XI	583653	584744	+	1092	290
YKR095W-A	XI;XI	625864;625977	625901;626205	+;+	267	163
YKL079W	XI	286603	288573	+	1971	565
YKL161C	XI	149386	150687	-	1302	414
YKL159C	XI	153816	154451	-	636	170
YKR030W	XI	500282	501103	+	822	561
YKL037W	XI	369365	369721	+	357	25
YKL042W	XI	358475	359566	+	1092	313
YKR020W	XI	478338	478832	+	495	323
YKL012W	XI	418310	420061	+	1752	713
YKL106W	XI	237536	238891	+	1356	1035
YKR075C	XI	579827	580750	-	924	88
YKR065C	XI	565299	565892	-	594	1053
YKL043W	XI	356748	357848	+	1101	3107
YKL045W	XI	353493	355079	+	1587	731
YKR060W	XI	556518	557342	+	825	397
YKL085W	XI	279123	280127	+	1005	2024
YKL165C	XI	137932	140691	-	2760	1551
YKL003C	XI	437097	437492	-	396	606
YKL072W	XI	299582	301882	+	2301	337
YKL177W	XI	114356	114694	+	339	1
YKL186C	XI	92744	93298	-	555	570
snR64	XI	38811	38911	+	101	5
YKR032W	XI	506517	506831	+	315	1
YKL132C	XI	193574	194866	-	1293	83
YKL223W	XI	2389	2721	+	333	2
YKL078W	XI	288845	291052	+	2208	480
YKL001C	XI	438777	439385	-	609	7995
YKR040C	XI	518063	518566	-	504	0
YKL046C	XI	351275	352624	-	1350	1943
YKR017C	XI	471694	473349	-	1656	261
YKL058W	XI	330166	330534	+	369	935
YKL208W	XI	47157	47972	+	816	245
YKR005C	XI;XI	448521;450021	449951;450167	-;-	1578	114
YKR034W	XI	506898	507707	+	810	10
YKL060C	XI	326408	327487	-	1080	103213
YKL030W	XI	382498	383103	+	606	9
YKL162C-A	XI	145922	146074	-	153	24
YKR091W	XI	611525	612265	+	741	215
YKL096C-B	XI	259073	259222	-	150	2
YKL171W	XI	127475	130261	+	2787	485
YKL025C	XI	390240	392279	-	2040	595
YKL023W	XI	393721	394554	+	834	383
tR(UCU)K	XI	162487	162558	-	72	2
YKL215C	XI	26827	30687	-	3861	741
YKL136W	XI	186416	186814	+	399	24
YKL033W	XI	375456	378572	+	3117	552
YKR023W	XI	483419	485011	+	1593	442
YKR067W	XI	567918	570149	+	2232	731
YKL098W	XI	256770	257843	+	1074	377
YKL114C	XI	223352	224455	-	1104	1034
YKL145W	XI	174213	175616	+	1404	4063
YKL057C	XI	330856	333969	-	3114	1467
YKL106C-A	XI	237147	237266	-	120	1
YKL128C	XI	200884	201771	-	888	792
YKL008C	XI	427295	428551	-	1257	530
YKL029C	XI	382716	384725	-	2010	4604
YKR047W	XI	525257	525562	+	306	19
YKL066W	XI	315281	315724	+	444	120
YKL119C	XI	218570	219217	-	648	226
YEL041W	V	75944	77431	+	1488	157
YER011W	V	175248	176012	+	765	38
YER158W-A	V	491487	491702	+	216	21
snR53	V	61699	61789	+	91	6
YER056C-A	V;V	269423;270149	269751;270185	-;-	366	4885
YEL067C	V	26189	26776	-	588	56
YEL054C	V	52721	53218	-	498	1771
YEL047C	V	65385	66797	-	1413	682
YER146W	V	462585	462866	+	282	12
YER159C	V	491530	491958	-	429	585
YER084W	V	327065	327451	+	387	18
YER183C	V	553334	553969	-	636	306
YEL009C-A	V	136371	136778	-	408	3
YEL059C-A	V	42400	42624	-	225	42
YER172C	V	529530	536021	-	6492	1066
YER092W	V	342855	343232	+	378	582
YEL008C-A	V	140726	140818	-	93	0
YEL032W	V	86937	89852	+	2916	892
YEL010W	V	136279	136629	+	351	8
YEL040W	V	78053	79456	+	1404	6756
YEL059W	V	42652	42960	+	309	24
YER105C	V	367838	372013	-	4176	2081
YEL053C	V	53901	56102	-	2202	671
YEL046C	V	67629	68792	-	1164	1212
YER137C	V	441373	441819	-	447	19
YER013W	V	178841	182278	+	3438	558
YER147C-A	V	465203	465613	-	411	346
YEL036C	V	83050	84552	-	1503	1668
YER094C	V	348729	349346	-	618	2469
YER038C	V	226858	228252	-	1395	161
YEL034W	V	85676	86149	+	474	0
YER144C	V	457806	460223	-	2418	512
YER069W	V	295410	298001	+	2592	6018
YEL066W	V	26667	27206	+	540	157
YER161C	V	499347	500348	-	1002	903
YER131W	V	423952	424311	+	360	9714
YER027C	V	208979	210232	-	1254	690
tH(GUG)E2	V	434541	434612	-	72	6
YER088C-A	V	335696	336019	-	324	34
YER002W	V	156803	157498	+	696	1161
YEL062W	V	34407	36254	+	1848	277
YEL074W	V	6126	6464	+	339	0
YER142C	V	455146	456036	-	891	382
YER035W	V	222639	223076	+	438	162
YER145C	V	460526	461740	-	1215	6938
YER176W	V	541690	545055	+	3366	1099
YER071C	V	301947	302327	-	381	227
YER150W	V	468370	468816	+	447	146
YER177W	V	545611	546414	+	804	9893
YER123W	V	404813	406387	+	1575	616
YEL018W	V	121471	122310	+	840	86
YER116C	V	395348	396172	-	825	171
YER043C	V	235770	237119	-	1350	9864
YEL004W	V	146951	147979	+	1029	218
YER141W	V	453459	454919	+	1461	2377
YER170W	V	525974	526651	+	678	280
YER047C	V	243810	246503	-	2694	555
YER132C	V	425188	430449	-	5262	597
YEL068C	V	25646	25978	-	333	114
YER080W	V	319963	321846	+	1884	1077
YER052C	V	256375	257958	-	1584	4787
YER070W	V	298950	301616	+	2667	3346
YEL007W	V	141892	143892	+	2001	1223
tE(UUC)E2	V	354934	355005	+	72	0
YER068C-A	V	295301	295732	-	432	10
YER115C	V	394292	394867	-	576	147
tS(AGA)E	V	86604	86685	+	82	0
YER076C	V	312590	313498	-	909	219
YEL021W	V	116167	116970	+	804	1119
YEL026W	V	101943	102323	+	381	1561
YER040W	V	229795	231987	+	2193	431
YEL016C	V	124737	126218	-	1482	544
YER012W	V	177835	178431	+	597	2128
YER190W	V	571480	576525	+	5046	22
YER185W	V	559454	560365	+	912	58
YER189W	V	571155	571523	+	369	13
YEL060C	V	40046	41953	-	1908	1908
YEL052W	V	56571	58100	+	1530	740
YER149C	V	466208	467470	-	1263	277
YER111C	V	382595	385876	-	3282	850
YER081W	V	322686	324095	+	1410	4748
YER010C	V	172634	173338	-	705	388
YER018C	V	191959	192624	-	666	310
YEL076C	V	4464	5114	-	651	19
YEL018C-A	V	121455	121988	-	534	0
YER072W	V	302806	303195	+	390	1294
YER093C	V	343320	347612	-	4293	598
YER178W	V	546817	548079	+	1263	3662
YER030W	V	213437	213898	+	462	1198
YER128W	V	415859	416470	+	612	174
YER003C	V;V	157736;159088	158994;159118	-;-	1290	2285
YER163C	V	503084	503782	-	699	378
YEL005C	V	145907	146755	-	849	150
YER173W	V	536300	538279	+	1980	222
YEL065W	V	27657	29543	+	1887	238
YEL055C	V	48471	51539	-	3069	1852
YER029C	V	212587	213177	-	591	442
YER089C	V	335946	337340	-	1395	1044
YER179W	V;V	548421;548645	548552;549517	+;+	1005	40
YEL011W	V	133120	135234	+	2115	364
YER166W	V	512744	517459	+	4716	2032
YER061C	V	278298	279626	-	1329	556
YER082C	V	324272	325936	-	1665	1157
YER118C	V	397952	399055	-	1104	806
YER152C	V	472657	473988	-	1332	585
YER107C	V	373448	374545	-	1098	475
YER020W	V	195168	196517	+	1350	1099
YER125W	V	410189	412618	+	2430	2006
YER122C	V	402871	404352	-	1482	2988
YER038W-A	V	228451	228831	+	381	0
YER057C	V	270737	271126	-	390	739
YEL033W	V	86179	86598	+	420	291
YER006W	V	162723	164285	+	1563	1760
YER007W	V	164527	166083	+	1557	204
YER078W-A	V	318646	318810	+	165	0
tA(UGC)E	V	312023	312095	-	73	0
YEL002C	V	148722	150014	-	1293	2421
YEL064C	V	29797	31239	-	1443	236
YER103W	V	364589	366517	+	1929	959
YER007C-A	V;V	166237;166875	166771;166885	-;-	546	1011
snR80	V	52150	52320	-	171	10
YER093C-A	V;V	347912;348277	348201;348400	-;-	414	188
YER120W	V	401135	401869	+	735	1144
YER033C	V	218057	221287	-	3231	289
YER054C	V	262052	263698	-	1647	108
tV(AAC)E2	V	469457	469530	+	74	0
YER164W	V	505392	509798	+	4407	1536
YER139C	V	450563	451243	-	681	262
snR52	V	431129	431220	-	92	2
YEL042W	V	73771	75327	+	1557	2412
YER190C-A	V	574804	575379	-	576	0
tS(UGA)E	V	288443	288524	-	82	2
YER008C	V	167808	171818	-	4011	1470
YER114C	V	390590	393712	-	3123	1150
YER034W	V	221846	222403	+	558	129
YEL008W	V	140512	140892	+	381	7
YER014W	V	182600	184219	+	1620	412
YER143W	V	456319	457605	+	1287	710
YER053C-A	V	260933	261046	-	114	1141
YER028C	V	210692	211876	-	1185	105
YER048C	V	246982	248157	-	1176	1394
YER044C	V	237570	238016	-	447	1383
YEL039C	V	79636	79977	-	342	39
YER053C	V	258737	259639	-	903	305
tQ(UUG)E1	V	250286	250357	+	72	2
YEL034C-A	V	85613	86215	-	603	2
YER155C	V	476345	482848	-	6504	2609
snR4	V	424698	424883	+	186	159
YER050C	V	253971	254387	-	417	759
YER031C	V	214076	214747	-	672	1141
YER037W	V	225889	226854	+	966	98
YEL049W	V	63728	64090	+	363	27
tQ(UUG)E2	V	131082	131153	-	72	0
YEL006W	V	144327	145334	+	1008	637
YER100W	V	359562	360314	+	753	745
YER181C	V	551473	551796	-	324	2
YER015W	V	184541	186775	+	2235	261
YER129W	V	417281	420709	+	3429	1157
YER172C-A	V	536275	536655	-	381	0
tR(UCU)E	V	138666	138737	+	72	2
YEL072W	V	13720	14415	+	696	570
YEL075C	V	5345	5713	-	369	5
YER048W-A	V	250718	251002	+	285	789
YER051W	V	254656	256134	+	1479	297
YER171W	V	527082	529418	+	2337	1035
YER078C	V	316807	318342	-	1536	621
YER169W	V	523369	525759	+	2391	475
YEL003W	V;V	148176;148283	148194;148599	+;+	336	1189
YEL077W-A	V	630	1112	+	483	0
YEL017C-A	V	122798	122929	-	132	2665
YER133W	V;V	432495;433197	432671;433958	+;+	939	3784
YER152W-A	V	473485	474051	+	567	0
YER060W	V	274567	276153	+	1587	639
YER186C	V	561705	562625	-	921	641
YER188W	V	568040	568759	+	720	104
YEL045C	V	68840	69265	-	426	9
YER022W	V	198812	200875	+	2064	730
YER148W-A	V	466185	466763	+	579	2
YER157W	V	484788	487193	+	2406	617
YER014C-A	V;V	183731;184678	184169;184700	-;-	462	0
YEL076C-A	V;V	4185;4602	4322;5114	-;-	651	0
YEL038W	V	80462	81145	+	684	194
YER066W	V	290242	290799	+	558	105
YER098W	V	355466	357730	+	2265	332
YEL035C	V	85045	85545	-	501	9
RPR1	V	117667	118035	-	369	76
YER063W	V	281710	282366	+	657	1177
YER127W	V	414481	415554	+	1074	678
YER154W	V	475020	476228	+	1209	1198
YER032W	V	215063	217693	+	2631	710
YER180C-A	V	550865	551122	-	258	77
YEL071W	V	16355	17845	+	1491	17891
tK(CUU)E2	V	435752	435824	-	73	0
YEL057C	V	45020	45721	-	702	38
YEL069C	V	21537	23231	-	1695	8
YEL043W	V	70478	73348	+	2871	1116
YER096W	V	351698	353236	+	1539	52
YER017C	V	189503	191788	-	2286	1853
YEL019C	V	120498	121301	-	804	67
YER009W	V	172115	172492	+	378	2569
YER104W	V	366802	367428	+	627	174
YER067W	V	292066	292551	+	486	0
SCR1	V	441987	442508	+	522	184
YER044C-A	V;V	238460;239712	239623;239774	-;-	1227	34
YER101C	V	360502	361794	-	1293	216
YER121W	V	402375	402719	+	345	38
YER019C-A	V	194273	194539	-	267	714
tE(UUC)E1	V	177099	177170	+	72	2
YEL050C	V	59670	60851	-	1182	1473
YER062C	V	279930	280682	-	753	1004
YER006C-A	V	164344	164661	-	318	3
YER016W	V	188277	189311	+	1035	854
YEL025C	V	102581	106147	-	3567	1050
YER024W	V	202192	204963	+	2772	705
YER023W	V	201076	201936	+	861	1204
YER079W	V	318920	319552	+	633	179
YER136W	V	439616	440971	+	1356	1804
YER151C	V	469686	472424	-	2739	1428
YEL029C	V	96858	97796	-	939	690
YER065C	V	285241	286914	-	1674	393
YEL050W-A	V	59549	59740	+	192	21
YER085C	V	327619	328140	-	522	0
YER147C	V	462968	464842	-	1875	366
YER064C	V	282705	284222	-	1518	186
YER119C	V	399496	400842	-	1347	482
YEL020C-B	V	117183	117380	-	198	1
YER068W	V	293050	294813	+	1764	765
YER158C	V	488857	490578	-	1722	320
YER138W-A	V	449474	449578	+	105	3
YER130C	V	421115	422446	-	1332	516
YEL015W	V	126629	128284	+	1656	1157
tK(CUU)E1	V	135425	135497	-	73	0
YER153C	V	474041	474805	-	765	58
YER137W-A	V	441575	441880	+	306	0
YER113C	V	387932	390052	-	2121	974
YEL030W	V	94644	96578	+	1935	177
YER083C	V	326174	327031	-	858	632
YER167W	V	518216	520771	+	2556	668
YEL032C-A	V	87040	87201	-	162	0
YEL073C	V	7230	7553	-	324	62
tV(AAC)E1	V	438700	438773	+	74	0
YER005W	V	160550	162442	+	1893	689
YER102W	V	363100	363702	+	603	8784
YER046W	V	243180	243611	+	432	71
YER023C-A	V	201522	201734	-	213	0
YEL031W	V	90258	93905	+	3648	5909
YER075C	V	308413	311199	-	2787	705
YER073W	V	304030	305592	+	1563	3714
YEL027W	V	100769	101251	+	483	6943
YEL024W	V	107260	107907	+	648	3328
YER049W	V	251728	253662	+	1935	2508
YER175W-A	V	540650	540814	+	165	26
YEL037C	V	81407	82603	-	1197	2130
YER134C	V	437267	437803	-	537	107
YER088C	V	333176	335188	-	2013	743
YER175C	V	539464	540363	-	900	479
tG(GCC)E	V	61890	61960	-	71	2
YER021W	V	196948	198519	+	1572	3237
YER004W	V	159580	160275	+	696	1450
YER087C-A	V	331817	332368	-	552	9
YEL017W	V	123657	124670	+	1014	502
YER106W	V	372326	373234	+	909	16
YER066C-A	V	291703	292203	-	501	28
YER117W	V;V	396769;397282	396810;397653	+;+	414	14251
YER145C-A	V	462386	462823	-	438	26
YER076W-A	V	313390	313737	+	348	19
YER187W	V	566230	566655	+	426	53
snR14	V	167427	167586	-	160	7
YER046W-A	V	243700	244029	+	330	0
YER168C	V	521029	522669	-	1641	597
YER124C	V	407342	409063	-	1722	1893
SRG1	V	322212	322762	+	551	125
YER095W	V	349980	351182	+	1203	912
YEL028W	V	98668	99129	+	462	61
YER045C	V	240032	241501	-	1470	172
YER088W-B	V	335927	336073	+	147	0
YER086W	V	328477	330207	+	1731	4158
YER188C-A	V	569608	569907	-	300	14
YER148W	V	465303	466025	+	723	833
YEL022W	V	111421	115800	+	4380	1508
YEL001C	V	150301	150978	-	678	1343
YER056C	V	266512	268113	-	1602	5325
YER087C-B	V	332582	332830	-	249	1285
YEL013W	V	128825	130561	+	1737	1254
YER074W	V;V	306323;306792	306325;307196	+;+	408	13690
tE(UUC)E3	V	487331	487402	-	72	0
YER133W-A	V	437191	437532	+	342	25
YER119C-A	V	400867	401238	-	372	9
YEL063C	V	31694	33466	-	1773	2156
YEL051W	V	58378	59148	+	771	2284
YER190C-B	V	575680	576162	-	483	0
YEL061C	V	36535	39537	-	3003	888
YER059W	V	272624	273886	+	1263	350
YER091C-A	V	342390	342611	-	222	5
YER140W	V	451565	453235	+	1671	408
YEL056W	V	47168	48373	+	1206	552
YER084W-A	V	327598	328110	+	513	0
YER036C	V	223367	225199	-	1833	3054
YEL009C	V	138918	139763	-	846	11316
YER079C-A	V	319902	320240	-	339	0
YEL053W-A	V	52908	53255	+	348	4
tM(CAU)E	V	100133	100204	+	72	4
YEL030C-A	V	94583	94897	-	315	2
YEL014C	V	128303	128608	-	306	58
YER156C	V	483325	484341	-	1017	1301
YER162C	V	500630	502894	-	2265	375
YER090W	V	337949	339472	+	1524	2156
YER074W-A	V;V;V	307653;307849;308068	307746;307956;308123	+;+;+	258	552
YER041W	V	232461	234740	+	2280	331
YER165C-A	V	512627	512983	-	357	32
YER097W	V	355140	355469	+	330	25
YER112W	V	387232	387795	+	564	647
YER090C-A	V	338322	338411	-	90	0
YER067C-A	V	292240	292563	-	324	0
snR67	V	61352	61433	+	82	36
tH(GUG)E1	V	207357	207428	+	72	2
YER174C	V	538434	539168	-	735	565
YER107W-A	V	374394	374714	+	321	82
YER026C	V	207644	208474	-	831	3055
YER099C	V	358105	359061	-	957	561
YEL048C	V	64709	65167	-	459	250
YEL070W	V	19589	21097	+	1509	5
YER025W	V	205251	206834	+	1584	3522
YEL075W-A	V	4870	5481	+	612	0
YER126C	V	413394	414179	-	786	1456
tI(AAU)E1	V	443202	443275	-	74	0
YER182W	V	552525	553259	+	735	475
YER165W	V	510373	512106	+	1734	6295
YEL058W	V	43252	44925	+	1674	1885
YER060W-A	V	276572	278164	+	1593	363
YER184C	V	556296	558680	-	2385	136
YEL012W	V;V	131772;131900	131776;132551	+;+	657	283
YEL020W-A	V	117211	117474	+	264	263
YER077C	V	314534	316600	-	2067	508
YER039C	V	228456	229205	-	750	59
YER042W	V	234937	235491	+	555	1291
YER019W	V	192797	194230	+	1434	734
YER039C-A	V	229263	229481	-	219	54
YER058W	V	271768	272091	+	324	368
YER110C	V	378762	382103	-	3342	3383
YER135C	V	437952	438344	-	393	6
YEL023C	V	108504	110552	-	2049	356
YEL077C	V	264	4097	-	3834	183
tI(AAU)E2	V	551285	551358	-	74	0
YER001W	V	153520	155808	+	2289	4592
YEL020C	V	118617	120299	-	1683	245
YEL044W	V	69757	70257	+	501	682
YER180C	V	549724	550527	-	804	208
YER087W	V	330576	332306	+	1731	358
YER055C	V	264892	265785	-	894	8464
tR(ACG)E	V	492352	492424	-	73	0
YER091C	V	339864	342167	-	2304	41260
YER138C	V	443756	449024	-	5269	10
YER137C-A	V	447702	449024	-	1323	0
YER159C-A	V	496802	498124	-	1323	0
YER160C	V	492856	498124	-	5269	30
YHR094C	VIII	290913	292625	-	1713	991
YHL031C	VIII	38815	39486	-	672	75
YHL002W	VIII	102612	103970	+	1359	364
YHR219C-A	VIII	561199	561681	-	483	0
YHR045W	VIII	195551	197233	+	1683	1081
YHR084W	VIII	274174	276240	+	2067	857
YHR126C	VIII	359702	360181	-	480	6
tS(AGA)H	VIII	133026	133107	-	82	0
YHR125W	VIII	358858	359163	+	306	5
YHR206W	VIII	512732	514600	+	1869	978
YHR097C	VIII;VIII	297385;298485	298360;298609	-;-	1101	507
YHR005C-A	VIII	115620	115901	-	282	2618
YHR193C-A	VIII	488653	489027	-	375	1
YHR007C	VIII	120091	121683	-	1593	12493
YHR214C-D	VIII	550648	550941	-	294	1
YHR212W-A	VIII	538742	538945	+	204	0
YHR184W	VIII	472744	474459	+	1716	70
YHR132C	VIII	368502	369794	-	1293	1246
YHR182C-A	VIII	470939	471412	-	474	3
YHR025W	VIII	159438	160511	+	1074	2216
YHR055C	VIII	214533	214718	-	186	0
YHR073W	VIII	242582	245572	+	2991	1539
YHL015W-A	VIII	74699	74782	+	84	2
YHR064C	VIII	225525	227141	-	1617	4122
YHL041W	VIII	17392	17841	+	450	2
YHR143W	VIII	385510	386487	+	978	3368
YHR052W-A	VIII	212510	212704	+	195	0
YHL047C	VIII	8351	10213	-	1863	0
YHR175W-A	VIII	453558	453707	+	150	68
YHR003C	VIII	110028	111317	-	1290	766
YHL032C	VIII	36379	38508	-	2130	552
YHR154W	VIII	402966	406178	+	3213	1125
YHR031C	VIII	170799	172970	-	2172	478
YHL042W	VIII	15667	16119	+	453	86
YHR022C-A	VIII	151217	151306	-	90	11
YHR180C-B	VIII	466958	467062	-	105	0
YHR106W	VIII	325598	326626	+	1029	370
YHR186C	VIII	475999	480672	-	4674	1058
YHL029C	VIII	45929	47968	-	2040	568
YHR048W	VIII	204607	206151	+	1545	207
YHR039C-A	VIII;VIII	187173;187677	187514;187679	-;-	345	2188
YHR073W-A	VIII	242868	243044	+	177	0
YHR035W	VIII	178219	180111	+	1893	87
YHR165C	VIII	429707	436948	-	7242	1638
YHL006C	VIII	98343	98795	-	453	43
YHL025W	VIII	54851	55849	+	999	545
YHR172W	VIII	448335	450806	+	2472	498
YHR002W	VIII	108812	109885	+	1074	183
YHR016C	VIII;VIII	136881;138409	138240;138455	-;-	1407	424
RUF5-2	VIII	214407	215116	+	710	0
YHR079C	VIII	258244	261591	-	3348	709
YHR169W	VIII	442181	443476	+	1296	690
YHR054C	VIII	213185	214249	-	1065	5
YHR065C	VIII	227532	229037	-	1506	1325
YHR088W	VIII	281495	282382	+	888	543
tH(GUG)H	VIII	62755	62826	+	72	2
YHR093W	VIII	289142	289690	+	549	10
YHL036W	VIII	26241	27881	+	1641	698
YHR100C	VIII	314116	314673	-	558	254
YHR105W	VIII	324766	325410	+	645	96
YHR056C	VIII	215183	217834	-	2652	370
YHR135C	VIII	372694	374310	-	1617	1556
YHR180W	VIII	465178	465669	+	492	120
YHR086W	VIII	278153	279724	+	1572	533
YHR146W	VIII	390300	391697	+	1398	1763
YHR195W	VIII	490747	491712	+	966	506
YHR119W	VIII	346043	349285	+	3243	812
YHR033W	VIII	175548	176819	+	1272	249
YHR024C	VIII	157744	159192	-	1449	1377
YHL043W	VIII	14901	15413	+	513	85
YHL039W	VIII	21783	23540	+	1758	910
YHR059W	VIII	220108	220500	+	393	412
YHL048C-A	VIII	5663	5797	-	135	0
YHR026W	VIII	160844	161485	+	642	1942
YHR160C	VIII	419221	420072	-	852	76
YHR085W	VIII	276764	277768	+	1005	383
YHR113W	VIII	336337	337809	+	1473	798
YHR175W	VIII	452872	453441	+	570	570
YHR148W	VIII	393534	394085	+	552	482
YHR208W	VIII	517532	518713	+	1182	8216
YHR001W	VIII	106055	107368	+	1314	825
YHR131C	VIII	365340	367892	-	2553	499
YHR049C-A	VIII	207234	207530	-	297	49
YHR086W-A	VIII	280231	280392	+	162	15
YHR141C	VIII;VIII	381990;382748	382306;382751	-;-	321	11585
YHR170W	VIII	443828	445384	+	1557	2069
YHL021C	VIII	64462	65859	-	1398	589
YHR078W	VIII	256360	258018	+	1659	647
YHR007C-A	VIII	122550	122765	-	216	25
YHL044W	VIII	13565	14272	+	708	27
YHR214W-A	VIII	543008	543493	+	486	32
YHR161C	VIII	420373	422286	-	1914	1349
YHR074W	VIII	246193	248337	+	2145	1583
YHR164C	VIII	424610	429178	-	4569	643
YHL006W-A	VIII	97732	98085	+	354	37
YHR204W	VIII	506319	508709	+	2391	744
YHL002C-A	VIII	102587	103075	-	489	0
YHL030W-A	VIII	39074	39535	+	462	0
tF(GAA)H2	VIII;VIII	358478;358533	358513;358569	-;-	73	0
YHR163W	VIII	423724	424473	+	750	2178
YHL046C	VIII	11923	12285	-	363	2
YHR056W-A	VIII	217406	217840	+	435	0
YHL004W	VIII	99219	100403	+	1185	1398
YHL009C	VIII	84068	85060	-	993	266
YHR138C	VIII	377355	377699	-	345	278
YHR166C	VIII	437170	439050	-	1881	393
YHR151C	VIII	399268	400848	-	1581	266
YHL014C	VIII	76097	77314	-	1218	394
YHR021C	VIII;VIII	147871;148667	148116;148669	-;-	249	7545
YHR198C	VIII	496315	497280	-	966	622
YHL034C	VIII	33193	34077	-	885	1903
YHR124W	VIII	356561	358444	+	1884	168
YHR011W	VIII	127780	129120	+	1341	450
YHR096C	VIII	294669	296447	-	1779	226
YHR185C	VIII	474627	475340	-	714	6
YHR190W	VIII	484845	486179	+	1335	2949
YHR075C	VIII	248439	249641	-	1203	114
YHR117W	VIII	342349	344268	+	1920	913
YHR109W	VIII	330310	332067	+	1758	236
YHR207C	VIII	514905	516485	-	1581	569
YHR132W-A	VIII	370054	370449	+	396	372
YHR015W	VIII	134554	136533	+	1980	143
YHL015W	VIII	75412	75777	+	366	26180
YHR090C	VIII	283777	284625	-	849	291
YHR189W	VIII	484028	484600	+	573	99
YHR001W-A	VIII;VIII	107826;107895	107831;108122	+;+	234	1527
YHR070C-A	VIII	236102	236512	-	411	49
YHR108W	VIII	328303	330060	+	1758	1699
YHR006W	VIII	117814	119439	+	1626	873
YHR147C	VIII	392639	393283	-	645	949
YHR180W-A	VIII	466932	467114	+	183	1
YHR092C	VIII	287081	288811	-	1731	18427
YHR080C	VIII	262801	266838	-	4038	755
YHL045W	VIII	12502	12849	+	348	0
YHR022C	VIII	149575	150345	-	771	19
YHL027W	VIII	51111	52988	+	1878	1153
YHL003C	VIII	100648	101883	-	1236	1989
YHR070W	VIII	234881	236380	+	1500	269
YHR150W	VIII	397251	398990	+	1740	338
YHR133C	VIII	370722	371597	-	876	1038
YHR215W	VIII	552099	553502	+	1404	84
YHL020C	VIII	66242	67456	-	1215	1082
YHR101C	VIII;VIII	314874;315859	315771;315968	-;-	1008	280
YHR046C	VIII	197398	198285	-	888	524
YHR095W	VIII	292943	293437	+	495	0
YHR182W	VIII	468219	470576	+	2358	288
YHR098C	VIII	299145	301934	-	2790	1921
YHR145C	VIII	388981	389337	-	357	4
YHR120W	VIII	349574	352453	+	2880	682
YHL030W	VIII	40084	45690	+	5607	1990
tV(CAC)H	VIII	475706	475778	-	73	0
YHR051W	VIII	209705	210151	+	447	2671
YHR130C	VIII	364965	365300	-	336	45
YHR149C	VIII	394455	396659	-	2205	1059
YHR127W	VIII	360913	361644	+	732	451
YHR194W	VIII	488657	490396	+	1740	260
YHR213W-A	VIII	540549	540782	+	234	3
YHR032C-A	VIII	175275	175394	-	120	8
YHR203C	VIII;VIII	504476;505517	505247;505530	-;-	786	11864
